model,layer,action,config,batch,length,canonical_cluster,mlir_cluster,generic_ops,cycles,external_access,sram_access,flops,source_op_ids,operation_kinds,semantic_stages
llama3-8b,attention,decode,server,8,4096,C12,Cluster_1,3,264256.0,270598144.0,134709248.0,268435456.0,34 36 37,layout matmul transpose,softmax_layout av o_proj
llama3-8b,attention,decode,server,8,4096,C13,Cluster_0,2,32896.0,33685504.0,851968.0,268435456.0,38 39,layout matmul,o_proj
llama3-8b,attention,prefill,edge,1,128,C0,Cluster_15,3,1048576.0,38797312.0,195035136.0,4294967296.0,0 1 3,layout layout matmul,input q_proj
llama3-8b,attention,prefill,edge,1,128,C1,Cluster_14,1,16384.0,2097152.0,1048576.0,0.0,4,transpose,q_rope
llama3-8b,attention,prefill,edge,1,128,C2,Cluster_12,3,262144.0,10747904.0,63176704.0,1073741824.0,5 7 8,layout matmul transpose,k_proj k_rope
llama3-8b,attention,prefill,edge,1,128,C3,Cluster_13,3,262144.0,10747904.0,63176704.0,1073741824.0,9 10 11,layout matmul transpose,v_proj v_head_layout
llama3-8b,attention,prefill,edge,1,128,C4,Cluster_11,1,24576.0,3145728.0,1572864.0,524288.0,12,mul,q_rope
llama3-8b,attention,prefill,edge,1,128,C5,Cluster_10,1,8192.0,1048576.0,1048576.0,262144.0,13,negf,q_rope
llama3-8b,attention,prefill,edge,1,128,C6,Cluster_9,2,32768.0,4194304.0,3145728.0,1048576.0,14 15,mul add,q_rope
llama3-8b,attention,prefill,edge,1,128,C7,Cluster_8,1,6144.0,786432.0,393216.0,131072.0,16,mul,k_rope
llama3-8b,attention,prefill,edge,1,128,C8,Cluster_7,1,2048.0,262144.0,262144.0,65536.0,17,negf,k_rope
llama3-8b,attention,prefill,edge,1,128,C9,Cluster_6,3,14336.0,1835008.0,1441792.0,262144.0,18 19 20,mul add expand,k_rope k_repeat
llama3-8b,attention,prefill,edge,1,128,C10,Cluster_5,1,10240.0,1310720.0,655360.0,0.0,21,expand,v_repeat
llama3-8b,attention,prefill,edge,1,128,C11,Cluster_4,6,32768.0,4194304.0,18874368.0,135790592.0,22 23 24 26 27 28,transpose layout layout matmul trunc+mul add,k_layout q_rope qk scale mask
llama3-8b,attention,prefill,edge,1,128,C12,Cluster_3,2,8320.0,1064960.0,5505024.0,1048576.0,29 31,extend max-reduce,fp32_extend max_reduce
llama3-8b,attention,prefill,edge,1,128,C13,Cluster_2,6,40960.0,5242880.0,25165824.0,2621440.0,32 33 35 36 37 38,sub exp sum-reduce div trunc layout,subtract exp sum_reduce divide bf16_trunc softmax_layout
llama3-8b,attention,prefill,edge,1,128,C14,Cluster_1,2,32768.0,3145728.0,9437184.0,134217728.0,39 40,layout matmul,v_matmul_layout av
llama3-8b,attention,prefill,edge,1,128,C15,Cluster_0,4,1048576.0,38797312.0,197132288.0,4294967296.0,41 42 43 44,transpose layout layout matmul,o_proj
llama3-8b,attention,prefill,edge,1,4096,C0,Cluster_1,1,524288.0,67108864.0,4194304.0,0.0,0,layout,input
llama3-8b,attention,prefill,edge,1,4096,C1,Cluster_24,1,524288.0,67108864.0,4194304.0,0.0,1,layout,q_proj
llama3-8b,attention,prefill,edge,1,4096,C2,Cluster_0,1,33554432.0,436207616.0,6576668672.0,137438953472.0,3,matmul,q_proj
llama3-8b,attention,prefill,edge,1,4096,C3,Cluster_22,1,524288.0,67108864.0,33554432.0,0.0,4,transpose,q_rope
llama3-8b,attention,prefill,edge,1,4096,C4,Cluster_18,1,131072.0,16777216.0,1048576.0,0.0,5,layout,k_proj
llama3-8b,attention,prefill,edge,1,4096,C5,Cluster_17,1,8388608.0,109051904.0,1644167168.0,34359738368.0,7,matmul,k_proj
llama3-8b,attention,prefill,edge,1,4096,C6,Cluster_16,1,131072.0,16777216.0,8388608.0,0.0,8,transpose,k_rope
llama3-8b,attention,prefill,edge,1,4096,C7,Cluster_21,1,131072.0,16777216.0,1048576.0,0.0,9,layout,v_proj
llama3-8b,attention,prefill,edge,1,4096,C8,Cluster_20,1,8388608.0,109051904.0,1644167168.0,34359738368.0,10,matmul,v_proj
llama3-8b,attention,prefill,edge,1,4096,C9,Cluster_19,1,131072.0,16777216.0,8388608.0,0.0,11,transpose,v_head_layout
llama3-8b,attention,prefill,edge,1,4096,C10,Cluster_15,1,786432.0,100663296.0,50331648.0,16777216.0,12,mul,q_rope
llama3-8b,attention,prefill,edge,1,4096,C11,Cluster_14,1,262144.0,33554432.0,33554432.0,8388608.0,13,negf,q_rope
llama3-8b,attention,prefill,edge,1,4096,C12,Cluster_13,2,1048576.0,134217728.0,100663296.0,33554432.0,14 15,mul add,q_rope
llama3-8b,attention,prefill,edge,1,4096,C13,Cluster_12,1,196608.0,25165824.0,12582912.0,4194304.0,16,mul,k_rope
llama3-8b,attention,prefill,edge,1,4096,C14,Cluster_11,1,65536.0,8388608.0,8388608.0,2097152.0,17,negf,k_rope
llama3-8b,attention,prefill,edge,1,4096,C15,Cluster_10,3,458752.0,58720256.0,46137344.0,8388608.0,18 19 20,mul add expand,k_rope k_repeat
llama3-8b,attention,prefill,edge,1,4096,C16,Cluster_9,1,327680.0,41943040.0,20971520.0,0.0,21,expand,v_repeat
llama3-8b,attention,prefill,edge,1,4096,C17,Cluster_8,1,524288.0,67108864.0,67108864.0,0.0,22,transpose,k_layout
llama3-8b,attention,prefill,edge,1,4096,C18,Cluster_7,1,524288.0,67108864.0,33554432.0,0.0,23,layout,q_rope
llama3-8b,attention,prefill,edge,1,4096,C19,Cluster_6,1,524288.0,67108864.0,4194304.0,0.0,24,layout,k_layout
llama3-8b,attention,prefill,edge,1,4096,C20,Cluster_5,5,33554432.0,3490185216.0,17448304640.0,140123308032.0,26 27 28 29 31,matmul trunc+mul add extend max-reduce,qk scale mask fp32_extend max_reduce
llama3-8b,attention,prefill,edge,1,4096,C21,Cluster_4,6,41943040.0,5368709120.0,24830279680.0,2684354560.0,32 33 35 36 37 38,sub exp sum-reduce div trunc layout,subtract exp sum_reduce divide bf16_trunc softmax_layout
llama3-8b,attention,prefill,edge,1,4096,C22,Cluster_3,2,33554432.0,1140850688.0,6543114240.0,137438953472.0,39 41,layout matmul,v_matmul_layout av
llama3-8b,attention,prefill,edge,1,4096,C23,Cluster_2,2,524288.0,67108864.0,37748736.0,0.0,42 43,transpose layout,o_proj
llama3-8b,attention,prefill,edge,1,4096,C24,Cluster_25,1,524288.0,67108864.0,4194304.0,0.0,44,layout,o_proj
llama3-8b,attention,prefill,edge,1,4096,C25,Cluster_23,1,33554432.0,436207616.0,6576668672.0,137438953472.0,45,matmul,o_proj
llama3-8b,attention,prefill,server,8,128,C0,Cluster_12,2,131072.0,75497472.0,44040192.0,34359738368.0,1 2,matmul transpose,q_proj q_rope
llama3-8b,attention,prefill,server,8,128,C1,Cluster_10,2,32768.0,18874368.0,11010048.0,8589934592.0,4 5,matmul transpose,k_proj k_rope
llama3-8b,attention,prefill,server,8,128,C2,Cluster_11,2,32768.0,18874368.0,11010048.0,8589934592.0,6 7,matmul transpose,v_proj v_head_layout
llama3-8b,attention,prefill,server,8,128,C3,Cluster_9,1,24576.0,25165824.0,12582912.0,4194304.0,8,mul,q_rope
llama3-8b,attention,prefill,server,8,128,C4,Cluster_8,1,8192.0,8388608.0,8388608.0,2097152.0,9,negf,q_rope
llama3-8b,attention,prefill,server,8,128,C5,Cluster_7,2,32768.0,33554432.0,25165824.0,8388608.0,10 11,mul add,q_rope
llama3-8b,attention,prefill,server,8,128,C6,Cluster_6,1,6144.0,6291456.0,3145728.0,1048576.0,12,mul,k_rope
llama3-8b,attention,prefill,server,8,128,C7,Cluster_5,1,2048.0,2097152.0,2097152.0,524288.0,13,negf,k_rope
llama3-8b,attention,prefill,server,8,128,C8,Cluster_4,3,14336.0,14680064.0,11534336.0,2097152.0,14 15 16,mul add expand,k_rope k_repeat
llama3-8b,attention,prefill,server,8,128,C9,Cluster_3,1,10240.0,10485760.0,5242880.0,0.0,17,expand,v_repeat
llama3-8b,attention,prefill,server,8,128,C10,Cluster_2,6,32768.0,25296896.0,113770496.0,1094713344.0,18 20 21 22 23 25,transpose matmul trunc+mul add extend max-reduce,k_layout qk scale mask fp32_extend max_reduce
llama3-8b,attention,prefill,server,8,128,C11,Cluster_1,6,49152.0,50331648.0,205520896.0,1094713344.0,26 27 29 30 31 32,sub exp sum-reduce div trunc matmul,subtract exp sum_reduce divide bf16_trunc av
llama3-8b,attention,prefill,server,8,128,C12,Cluster_0,2,131072.0,83886080.0,42991616.0,34359738368.0,33 34,transpose matmul,o_proj
llama3-8b,attention,prefill,server,8,4096,C0,Cluster_14,2,4194304.0,2415919104.0,1409286144.0,1099511627776.0,1 2,matmul transpose,q_proj q_rope
llama3-8b,attention,prefill,server,8,4096,C1,Cluster_12,2,1048576.0,603979776.0,352321536.0,274877906944.0,4 5,matmul transpose,k_proj k_rope
llama3-8b,attention,prefill,server,8,4096,C2,Cluster_13,2,1048576.0,603979776.0,352321536.0,274877906944.0,6 7,matmul transpose,v_proj v_head_layout
llama3-8b,attention,prefill,server,8,4096,C3,Cluster_11,1,786432.0,805306368.0,402653184.0,134217728.0,8,mul,q_rope
llama3-8b,attention,prefill,server,8,4096,C4,Cluster_10,1,262144.0,268435456.0,268435456.0,67108864.0,9,negf,q_rope
llama3-8b,attention,prefill,server,8,4096,C5,Cluster_9,2,1048576.0,1073741824.0,805306368.0,268435456.0,10 11,mul add,q_rope
llama3-8b,attention,prefill,server,8,4096,C6,Cluster_8,1,196608.0,201326592.0,100663296.0,33554432.0,12,mul,k_rope
llama3-8b,attention,prefill,server,8,4096,C7,Cluster_7,1,65536.0,67108864.0,67108864.0,16777216.0,13,negf,k_rope
llama3-8b,attention,prefill,server,8,4096,C8,Cluster_6,3,458752.0,469762048.0,369098752.0,67108864.0,14 15 16,mul add expand,k_rope k_repeat
llama3-8b,attention,prefill,server,8,4096,C9,Cluster_5,1,327680.0,335544320.0,167772160.0,0.0,17,expand,v_repeat
llama3-8b,attention,prefill,server,8,4096,C10,Cluster_4,1,524288.0,536870912.0,536870912.0,0.0,18,transpose,k_layout
llama3-8b,attention,prefill,server,8,4096,C11,Cluster_3,5,17305600.0,17720934400.0,90194313216.0,1120986464256.0,20 21 22 23 25,matmul trunc+mul add extend max-reduce,qk scale mask fp32_extend max_reduce
llama3-8b,attention,prefill,server,8,4096,C12,Cluster_2,5,41943040.0,42949672960.0,24696061952.0,21474836480.0,26 27 29 30 31,sub exp sum-reduce div trunc,subtract exp sum_reduce divide bf16_trunc
llama3-8b,attention,prefill,server,8,4096,C13,Cluster_1,2,8912896.0,9126805504.0,2818572288.0,1099511627776.0,33 34,matmul transpose,av o_proj
llama3-8b,attention,prefill,server,8,4096,C14,Cluster_0,1,4194304.0,1879048192.0,1107296256.0,1099511627776.0,35,matmul,o_proj
llama3-8b,ffn,decode,edge,1,128,C0,Cluster_3,1,128.0,16384.0,1024.0,0.0,0,layout,input
llama3-8b,ffn,decode,edge,1,128,C1,Cluster_2,6,1849792.0,236773376.0,58978304.0,234952704.0,1 3 4 5 6 7,layout matmul sigmoid mul layout matmul,gate_proj silu up_proj
llama3-8b,ffn,decode,edge,1,128,C2,Cluster_1,2,672.0,86016.0,6272.0,14336.0,8 9,mul layout,product down_proj
llama3-8b,ffn,decode,edge,1,128,C3,Cluster_0,2,924736.0,118366208.0,22048768.0,117440512.0,10 12,layout matmul,down_proj
llama3-8b,ffn,decode,edge,1,4096,C0,Cluster_3,1,128.0,16384.0,1024.0,0.0,0,layout,input
llama3-8b,ffn,decode,edge,1,4096,C1,Cluster_2,6,1849792.0,236773376.0,58978304.0,234952704.0,1 3 4 5 6 7,layout matmul sigmoid mul layout matmul,gate_proj silu up_proj
llama3-8b,ffn,decode,edge,1,4096,C2,Cluster_1,2,672.0,86016.0,6272.0,14336.0,8 9,mul layout,product down_proj
llama3-8b,ffn,decode,edge,1,4096,C3,Cluster_0,2,924736.0,118366208.0,22048768.0,117440512.0,10 12,layout matmul,down_proj
llama3-8b,ffn,decode,server,8,128,C0,Cluster_2,1,128.0,131072.0,8192.0,0.0,0,layout,input
llama3-8b,ffn,decode,server,8,128,C1,Cluster_1,6,230048.0,235569152.0,12156928.0,1879736320.0,2 3 4 5 6 7,matmul sigmoid mul matmul mul layout,gate_proj silu up_proj product down_proj
llama3-8b,ffn,decode,server,8,128,C2,Cluster_0,1,114976.0,117735424.0,2523136.0,939524096.0,9,matmul,down_proj
llama3-8b,ffn,decode,server,8,4096,C0,Cluster_2,1,128.0,131072.0,8192.0,0.0,0,layout,input
llama3-8b,ffn,decode,server,8,4096,C1,Cluster_1,6,230048.0,235569152.0,12156928.0,1879736320.0,2 3 4 5 6 7,matmul sigmoid mul matmul mul layout,gate_proj silu up_proj product down_proj
llama3-8b,ffn,decode,server,8,4096,C2,Cluster_0,1,114976.0,117735424.0,2523136.0,939524096.0,9,matmul,down_proj
llama3-8b,ffn,prefill,edge,1,128,C0,Cluster_5,1,16384.0,2097152.0,131072.0,0.0,0,layout,input
llama3-8b,ffn,prefill,edge,1,128,C1,Cluster_2,2,3670016.0,150470656.0,675282944.0,15032385536.0,1 3,layout matmul,gate_proj
llama3-8b,ffn,prefill,edge,1,128,C2,Cluster_3,2,57344.0,7340032.0,18350080.0,9175040.0,4 5,sigmoid mul,silu
llama3-8b,ffn,prefill,edge,1,128,C3,Cluster_4,2,3670016.0,150470656.0,675282944.0,15032385536.0,6 7,layout matmul,up_proj
llama3-8b,ffn,prefill,edge,1,128,C4,Cluster_1,2,86016.0,11010048.0,802816.0,1835008.0,8 9,mul layout,product down_proj
llama3-8b,ffn,prefill,edge,1,128,C5,Cluster_0,2,3670016.0,133169152.0,675282944.0,15032385536.0,10 12,layout matmul,down_proj
llama3-8b,ffn,prefill,edge,1,4096,C0,Cluster_8,1,524288.0,67108864.0,4194304.0,0.0,0,layout,input
llama3-8b,ffn,prefill,edge,1,4096,C1,Cluster_4,1,1835008.0,234881024.0,14680064.0,0.0,1,layout,gate_proj
llama3-8b,ffn,prefill,edge,1,4096,C2,Cluster_3,1,117440512.0,1526726656.0,23018340352.0,481036337152.0,3,matmul,gate_proj
llama3-8b,ffn,prefill,edge,1,4096,C3,Cluster_5,2,1835008.0,234881024.0,587202560.0,293601280.0,4 5,sigmoid mul,silu
llama3-8b,ffn,prefill,edge,1,4096,C4,Cluster_7,1,1835008.0,234881024.0,14680064.0,0.0,6,layout,up_proj
llama3-8b,ffn,prefill,edge,1,4096,C5,Cluster_6,1,117440512.0,1526726656.0,23018340352.0,481036337152.0,7,matmul,up_proj
llama3-8b,ffn,prefill,edge,1,4096,C6,Cluster_2,2,2752512.0,352321536.0,25690112.0,58720256.0,8 9,mul layout,product down_proj
llama3-8b,ffn,prefill,edge,1,4096,C7,Cluster_1,1,1835008.0,234881024.0,14680064.0,0.0,10,layout,down_proj
llama3-8b,ffn,prefill,edge,1,4096,C8,Cluster_0,1,117440512.0,1442840576.0,23018340352.0,481036337152.0,12,matmul,down_proj
llama3-8b,ffn,prefill,server,8,128,C0,Cluster_1,5,917504.0,499122176.0,734003200.0,240606248960.0,1 2 3 4 5,matmul sigmoid mul matmul mul,gate_proj silu up_proj product
llama3-8b,ffn,prefill,server,8,128,C1,Cluster_0,1,458752.0,184549376.0,121110528.0,120259084288.0,7,matmul,down_proj
llama3-8b,ffn,prefill,server,8,4096,C0,Cluster_1,5,29360128.0,15971909632.0,23488102400.0,7699399966720.0,1 2 3 4 5,matmul sigmoid mul matmul mul,gate_proj silu up_proj product
llama3-8b,ffn,prefill,server,8,4096,C1,Cluster_0,1,14680064.0,5905580032.0,3875536896.0,3848290697216.0,7,matmul,down_proj
